Date,Open,High,Low,Close,Adj Close,Volume,Mode,Mean,Median
2019-06-21,2952.709961,2964.149902,2946.870117,2950.459961,2950.459961,5000120000,2950.459961,833355794.108317,2951.584961
2019-06-24,2951.419922,2954.919922,2944.050049,2945.350098,2945.350098,3136250000,2945.350098,522710790.18168145,2948.38501
2019-06-25,2945.780029,2946.52002,2916.01001,2917.379883,2917.379883,3578050000,2917.379883,596344107.1783042,2931.579956
2019-06-26,2926.070068,2932.590088,2912.98999,2913.780029,2913.780029,3478130000,2913.780029,579690766.5350341,2919.9250485000002
2019-06-27,2919.659912,2929.300049,2918.570068,2924.919922,2924.919922,3122920000,2924.919922,520489102.8949788,2924.919922
2019-06-28,2932.939941,2943.97998,2929.050049,2941.76001,2941.76001,5420700000,2941.76001,903452448.2483317,2941.76001
2019-07-01,2971.409912,2977.929932,2952.219971,2964.330078,2964.330078,3513270000,2964.330078,585547471.7033285,2967.869995
2019-07-02,2964.659912,2973.209961,2955.919922,2973.01001,2973.01001,3206840000,2973.01001,534475806.6349692,2973.01001
2019-07-03,2978.080078,2995.840088,2977.959961,2995.820068,2995.820068,1963720000,2995.820068,327289157.25337714,2995.820068
2019-07-05,2984.25,2994.030029,2967.969971,2990.409912,2990.409912,2434210000,2990.409912,405704154.5116374,2990.409912
2019-07-08,2979.77002,2980.76001,2970.090088,2975.949951,2975.949951,2904550000,2975.949951,484094147.08667,2977.8599855
2019-07-09,2965.52002,2981.899902,2963.439941,2979.629883,2979.629883,3028210000,2979.629883,504704145.0199382,2979.629883
2019-07-10,2989.300049,3002.97998,2984.620117,2993.070068,2993.070068,3154240000,2993.070068,525709160.5067136,2993.070068
2019-07-11,2999.620117,3002.330078,2988.800049,2999.909912,2999.909912,3154620000,2999.909912,525772498.42834467,2999.909912
2019-07-12,3003.360107,3013.919922,3001.870117,3013.77002,3013.77002,2974960000,3013.77002,495829174.4483643,3013.77002
2019-07-15,3017.800049,3017.800049,3008.77002,3014.300049,3014.300049,2874970000,"3017.800049,3014.300049",479164178.8283693,3016.050049
2019-07-16,3012.129883,3015.02002,3001.149902,3004.040039,3004.040039,3290650000,3004.040039,548444172.7299805,3008.084961
2019-07-17,3005.100098,3005.26001,2984.25,2984.419922,2984.419922,3181600000,2984.419922,530269160.574992,2994.76001
2019-07-18,2978.870117,2998.280029,2973.090088,2995.110107,2995.110107,3296580000,2995.110107,549432490.0767413,2995.110107
2019-07-19,3004.26001,3006.02002,2975.860107,2976.610107,2976.610107,3260360000,2976.610107,543395823.2267252,2990.4350585
2019-07-22,2981.929932,2990.709961,2976.649902,2985.030029,2985.030029,3003720000,2985.030029,500622486.55830884,2985.030029
2019-07-23,2994.73999,3005.899902,2988.560059,3005.469971,3005.469971,3313660000,3005.469971,552279166.6899822,3005.469971
2019-07-24,2998.77002,3019.590088,2996.820068,3019.560059,3019.560059,3428980000,3019.560059,571499175.7167157,3019.560059
2019-07-25,3016.26001,3016.310059,2997.23999,3003.669922,3003.669922,3645270000,3003.669922,607547506.1916505,3009.964966
2019-07-26,3013.25,3027.97998,3012.590088,3025.860107,3025.860107,3257590000,3025.860107,542934184.2567136,3025.860107
2019-07-29,3024.469971,3025.610107,3014.300049,3020.969971,3020.969971,3203710000,3020.969971,533954184.38667816,3022.719971
2019-07-30,3007.659912,3017.189941,3000.939941,3013.179932,3013.179932,3634330000,3013.179932,605724175.3582764,3013.179932
2019-07-31,3016.219971,3017.399902,2958.080078,2980.379883,2980.379883,4623430000,2980.379883,770574158.7432861,2998.299927
2019-08-01,2980.320068,3013.590088,2945.22998,2953.560059,2953.560059,4762300000,2953.560059,793719141.0433756,2966.9400635
2019-08-02,2943.899902,2945.5,2914.110107,2932.050049,2932.050049,3874660000,2932.050049,645779111.2683512,2937.9749755000003
2019-08-05,2898.070068,2898.070068,2822.120117,2844.73999,2844.73999,4513730000,"2898.070068,2844.73999",752290717.9567056,2871.405029
2019-08-06,2861.179932,2884.399902,2847.419922,2881.77002,2881.77002,4154240000,2881.77002,692375726.0899659,2881.77002
2019-08-07,2858.649902,2892.169922,2825.709961,2883.97998,2883.97998,4491750000,2883.97998,748627390.7482909,2883.97998
2019-08-08,2896.209961,2938.719971,2894.469971,2938.090088,2938.090088,4106370000,2938.090088,684397434.2633466,2938.090088
2019-08-09,2930.51001,2935.75,2900.149902,2918.649902,2918.649902,3350640000,2918.649902,558442433.9516193,2924.579956
2019-08-12,2907.070068,2907.580078,2873.139893,2882.699951,2882.699951,2851630000,2882.699951,475274075.5316568,2894.8850095
2019-08-13,2880.719971,2943.310059,2877.050049,2926.320068,2926.320068,3853600000,2926.320068,642269092.2867025,2926.320068
2019-08-14,2894.149902,2894.149902,2839.639893,2840.600098,2840.600098,4312530000,"2894.149902,2840.600098",718757384.8566488,2867.375
2019-08-15,2846.199951,2856.669922,2825.51001,2847.600098,2847.600098,4038000000,2847.600098,673002370.5966798,2847.600098
2019-08-16,2864.73999,2893.629883,2864.73999,2888.679932,2888.679932,3498150000,"2864.73999,2888.679932",583027400.0782878,2888.679932
2019-08-19,2913.47998,2931.0,2913.47998,2923.649902,2923.649902,3212880000,"2913.47998,2923.649902",535482434.2099607,2923.649902
2019-08-20,2919.01001,2923.629883,2899.600098,2900.51001,2900.51001,3066300000,2900.51001,511052423.8766685,2909.76001
2019-08-21,2922.040039,2928.72998,2917.909912,2924.429932,2924.429932,3011190000,2924.429932,501867436.2566325,2924.429932
2019-08-22,2930.939941,2939.080078,2904.51001,2922.949951,2922.949951,2890880000,2922.949951,481815770.0716552,2926.944946
2019-08-23,2911.070068,2927.01001,2834.969971,2847.110107,2847.110107,3937300000,2847.110107,656219061.2117106,2879.0900874999998
2019-08-26,2866.699951,2879.27002,2856.0,2878.379883,2878.379883,2857600000,2878.379883,476269059.7882895,2878.379883
2019-08-27,2893.139893,2898.790039,2860.590088,2869.159912,2869.159912,3533630000,2869.159912,588940731.8066407,2881.1499025000003
2019-08-28,2861.280029,2890.030029,2853.050049,2887.939941,2887.939941,3097420000,2887.939941,516239063.3733315,2887.939941
2019-08-29,2910.370117,2930.5,2905.669922,2924.580078,2924.580078,3176190000,2924.580078,529367432.61669916,2924.580078
2019-08-30,2937.090088,2940.429932,2913.320068,2926.459961,2926.459961,3008450000,2926.459961,501410773.96000165,2931.7750244999997
2019-09-03,2909.01001,2914.389893,2891.850098,2906.27002,2906.27002,3426790000,2906.27002,571134087.9650068,2907.640015
2019-09-04,2924.669922,2938.840088,2921.860107,2937.780029,2937.780029,3163260000,2937.780029,527212443.4883625,2937.780029
2019-09-05,2960.600098,2985.860107,2960.600098,2976.0,2976.0,3890700000,"2960.600098,2976.0",648452476.5100505,2976.0
